,Unnamed: 0,isbn,title,series_title,series_release_number,authors,publisher,language,description,num_pages,format,genres,publication_date,rating_score,price,url,BooksRemaining
0,0,9780689830594,Summer Story ,Brambly Hedge,2,Jill Barklem,Atheneum,English,"It was such a hot summer. The sky was deep blue and the sun never faltered.All along Brambly Hedge, the mice did their best to keep cool. Poppy Eyebright sought refuge in the mossy shadows of the mill wheel; Dusty Dogwood took to walking by the banks of the cooling stream. Dusty and Poppy spent more and more time together, so no one was at all surprised when they announced their engagement.
They decided on a very unusual setting for the wedding ceremony, but even they didn't realize just how unusual it would prove to be!",32,Hardcover,"['Picture Books', 'Childrens', 'Fiction', 'Animals', 'Fantasy', 'Classics', 'Short Stories']",1980-01-01,4.45,3.49,https://www.goodreads.com/book/show/421572.Summer_Story,1775
1,2,9780345446671,Beyond the Blue Event Horizon ,Heechee Saga,2,Frederik Pohl,Ballantine Books,English,"In Book Two of the Heechee Saga, Robinette Broadhead is on his way to making a fortune by bankrolling an expedition to the Food Factory--a Heechee spaceship that can graze the cometary cloud and transfor the basic elements of the universe into untold quantities of food. But even as he gambles on the breakthrough technology, he is wracked with the guilt of losing his wife, poised forever at the ""event horizon"" of a black hole where Robin had abaondoned her. As more and more information comes back from the expedition, Robin grows ever hopeful that he can rescue his beloved Gelle-Klara Moynlin. After three and a years, the factory is discovered to work, and a human is found aboard. Robin's suffering may be just about over....
THE HEECHEE SAGA
Book Gateway
Book Beyond the Blue Event Horizon
Book Heechee Rendezvous
Book The Annals of the Heechee
From the Paperback edition.",336,Paperback,"['Science Fiction', 'Fiction', 'Space Opera', 'Science Fiction Fantasy', 'Fantasy', 'Aliens', 'Adventure']",1980-01-01,3.95,11.99,https://www.goodreads.com/book/show/373399.Beyond_the_Blue_Event_Horizon,443
2,3,9780446403016,St. Peter's Fair ,Chronicles of Brother Cadfael,4,Ellis Peters,Mysterious Press,English,"A pause in the civil war offers Shrewsbury's townsfolk hope that the upcoming fair will be successful, but the discovery of the body of a wealthy merchant could destroy that hope.",217,Mass Market Paperback,"['Mystery', 'Historical Fiction', 'Fiction', 'Historical', 'Crime', 'Medieval', 'Historical Mystery']",1981-05-01,4.12,0.0,https://www.goodreads.com/book/show/751755.St_Peter_s_Fair,115
3,7,9780345468642,Pawn of Prophecy ,The Belgariad,1,David Eddings,Del Rey,English,"BOOK 1 OF THE BELGARIAD, the worldwide bestselling fantasy series by master storyteller David Eddings. Discover the epic story that inspired thousands - from Raymond Feist's 
 series to George R. R. Martin's 
A Game of Thrones
.
A battle is coming...
...And in that battle shall be decided
the fate of the world
Myths tell of the ancient wars of Gods and men, and a powerful object - the Orb - that ended the bloodshed. As long as it was held by the line of Riva, it would assure the peace.
But a dark force has stolen the Orb, and the prophecies tell of war.
Young farm boy Garion knows nothing of myth or fate. But then the mysterious Old Storyteller visits his aunt, and they embark on a sudden journey. Pursued by evil forces, with only a small band of companions they can trust, Garion begins to doubt all he thought he knew...",304,Paperback,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Young Adult', 'Science Fiction Fantasy', 'Adventure']",1982-03-12,4.16,5.99,https://www.goodreads.com/book/show/44659.Pawn_of_Prophecy,455
4,8,9780553276329,Pacific Vortex! ,Dirk Pitt,1,Clive Cussler,Bantam,English,"Dirk Pitt, death-defying adventurer and deep-sea expert, is out to the ultimate test as he plunges into the perilous waters of the Pacific Vortex -- a fog-shrouded sea zone where dozens of ships have vanished without a trace. The latest victim is the awesome superb Starbuck, America's deep-diving nuclear arsenal. Its loss poses an unthinkable threat to national defense. Pitt's job is to find it, salvage it, before the sea explodes. In a furious race against time, Pitt's mission swirls him into a battle with underwater assassins-and traps him in the arms of Summer Moran, the most stunningly exotic and dangerous toward disaster, Clive Cussler plummets his hero onto an ancient sunken island-the astonishing setting for the explosive climax of Pacific Vortex!",288,Mass Market Paperback,"['Adventure', 'Fiction', 'Thriller', 'Action', 'Mystery', 'Suspense', 'Mystery Thriller']",1983-01-01,3.8,9.59,https://www.goodreads.com/book/show/361081.Pacific_Vortex_,221
5,12,9780786915743,Dragons of Autumn Twilight  ,Dragonlance: Chronicles,1,Margaret Weis,Wizards of the Coast,English,"Once merely creatures of legend, the dragons have returned to Krynn. But with their arrival comes the departure of the old gods—and all healing magic. As war threatens to engulf the land, lifelong friends reunite for an adventure that will change their lives and shape their world forever . . . 
 
When Tanis, Sturm, Caramon, Raistlin, Flint, and Tasslehoff see a woman use a blue crystal staff to heal a villager, they wonder if it's a sign the gods have not abandoned them after all. Fueled by this glimmer of hope, the Companions band together to uncover the truth behind the gods' absence—though they aren't the only ones with an interest in the staff. The Seekers, a new religious order, wants the artifact for their own ends, believing it will help them replace the gods and overtake the continent of Ansalon. Now, the Companions must assume the unlikely roles of heroes if they hope to prevent the staff from falling into the hands of darkness.
Lifelong friends, they went their separate ways. Now they are together again, though each holds secrets from the others in his heart. They speak of a world shadowed with rumors of war. They speak of tales of strange monsters, creatures of myth, creatures of legend. They do not speak of their secrets. Not then. Not until a chance encounter with a beautiful, sorrowful woman, who bears a magical crystal staff, draws the companions deeper into the shadows, forever changing their lives and shaping the fate of the world.
No one expected them to be heroes.
Least of all, them.",444,Mass Market Paperback,"['Fantasy', 'Dragonlance', 'Fiction', 'Dragons', 'High Fantasy', 'Epic Fantasy', 'Science Fiction Fantasy']",1984-11-12,4.01,7.99,https://www.goodreads.com/book/show/259836.Dragons_of_Autumn_Twilight,1274
6,14,9780425165584,Books of Blood: Volumes One to Three ,Books of Blood,1-3,Clive Barker,Berkley Books,English,"""Everybody is a book of blood; wherever we're opened, we're red."" For those who only know Clive Barker through his long multigenre novels, this one-volume edition of the 
 is a welcome chance to acquire the 16 remarkable horror short stories with which he kicked off his career. For those who already know these tales, the poignant introduction is a window on the creator's mind. Reflecting back after 14 years, Barker writes:
 
 I look at these pieces and I don't think the man who wrote them is alive in me anymore.... We are all our own graveyards I believe; we squat amongst the tombs of the people we were. If we're healthy, every day is a celebration, a Day of the Dead, in which we give thanks for the lives that we lived; and if we are neurotic we brood and mourn and wish that the past was still present.
 Reading these stories over, I feel a little of both. Some of the simple energies that made these words flow through my pen--that made the phrases felicitous and the ideas sing--have gone. I lost their maker a long time ago. 
 These enthusiastic tales are not ashamed of visceral horror, of blood splashing freely across the page: ""The Midnight Meat Train,"" a grisly subway tale that surprises you with one twist after another; ""The Yattering and Jack,"" about a hilarious demon who possesses a Christmas turkey; ""In the Hills, the Cities,"" an unusual example of an original horror premise; ""Dread,"" a harrowing non-supernatural tale about being forced to realize your worst nightmare; ""Jacqueline Ess: Her Will and Testament,"" about a woman who kills men with her mind. Some of the tales are more successful than others, but all are distinguished by strikingly beautiful images of evil and destruction. No horror library is complete without them. 
--Fiona Webster",507,Paperback,"['Horror', 'Short Stories', 'Fiction', 'Fantasy', 'Anthologies', 'Thriller', 'Supernatural']",1984-01-01,4.19,29.99,https://www.goodreads.com/book/show/32626.Books_of_Blood,686
7,18,9781591164227,"Maison Ikkoku, Volume 6 ",Maison Ikkoku,6,Rumiko Takahashi,VIZ Media LLC,English,"Follows the tenants of Japan's nuttiest apartment house where Kyoko, the manager, Yusaku, the college student, Mrs. Ichinose, the drunken gossip, Akemi, the boozy bar hostess, and Mr. Yostuya, the mooching peeper, reside.",208,Paperback,"['Manga', 'Romance', 'Comics', 'Seinen', 'Comedy', 'Fiction', 'Graphic Novels']",1984-06-01,4.17,12.99,https://www.goodreads.com/book/show/23708.Maison_Ikkoku_Volume_6,1232
8,20,9780446365321,Sweet Starfire ,Lost Colony,1,Jayne Ann Krentz,Grand Central Publishing,English,PAPERBACK,384,Mass Market Paperback,"['Romance', 'Paranormal Romance', 'Paranormal', 'Fantasy', 'Science Fiction', 'Fiction', 'Science Fiction Romance']",1985-01-01,3.96,4.99,https://www.goodreads.com/book/show/1723927.Sweet_Starfire,1197
9,23,9780380714001,Gallows View ,Inspector Banks,1,Peter Robinson,Avon,English,"A Peeping Tom is frightening the women of Eastvale; two glue-sniffing young thugs are breaking into homes and robbing people, and an old woman may or may not have been murdered.
Investigating these cases is Detective Chief Inspector Alan Banks, a perceptive, curious and compassionate policeman recently moved to the Yorkshire Dales from London to escape the stress of city life.
In addition to all this, Banks has to deal with local feminists plus his attraction to a young psychologist, Jenny Fuller. As the tension mounts, both Jenny and Banks’s wife, Sandra, are drawn deeper into the events. The cases weave together as the story reaches a tense and surprising climax.",336,Mass Market Paperback,"['Mystery', 'Crime', 'Fiction', 'Audiobook', 'Thriller', 'Mystery Thriller', 'British Literature']",1987-08-27,3.78,11.99,https://www.goodreads.com/book/show/102139.Gallows_View,1476
